,Source,Target,Type,RawWeight,Weight
207,13,22,Undirected,15,0
208,13,23,Undirected,3,0
209,14,15,Undirected,12,0
210,14,16,Undirected,1,0
211,14,17,Undirected,3,0
212,14,18,Undirected,12,0.171935299284524
213,14,19,Undirected,12,0
214,14,20,Undirected,2,0
215,14,21,Undirected,10,0
216,14,22,Undirected,3,0
217,14,23,Undirected,1,0
218,15,16,Undirected,1,0
219,15,17,Undirected,7,0
220,15,18,Undirected,20,0
221,15,19,Undirected,35,0
222,15,20,Undirected,11,0
223,15,21,Undirected,26,0
224,15,22,Undirected,15,0
225,15,23,Undirected,4,0
226,16,17,Undirected,2,0.812913356642856
227,16,18,Undirected,1,0
228,16,19,Undirected,2,0
229,16,20,Undirected,1,0.373580662812593
230,16,21,Undirected,2,0
231,16,22,Undirected,1,0
232,16,23,Undirected,1,0.812913356642856
233,17,18,Undirected,2,0
234,17,19,Undirected,7,0
235,17,20,Undirected,2,0
236,17,21,Undirected,7,0
237,17,22,Undirected,2,0
238,17,23,Undirected,2,0.511883360978874
239,18,19,Undirected,23,0
240,18,20,Undirected,2,0
241,18,21,Undirected,19,0
242,18,22,Undirected,12,0
243,18,23,Undirected,2,0
244,19,20,Undirected,10,0
245,19,21,Undirected,31,0
246,19,22,Undirected,17,0
247,19,23,Undirected,3,0
248,20,21,Undirected,7,0
249,20,22,Undirected,7,0.21867870282685
250,20,23,Undirected,2,0.373580662812593
251,21,22,Undirected,14,0
252,21,23,Undirected,2,0
253,22,23,Undirected,4,0.414973347970818
254,3,24,Undirected,22,0
255,24,25,Undirected,22,0
256,24,26,Undirected,14,0.138675707277852
257,24,27,Undirected,6,0
258,4,24,Undirected,20,0
259,24,28,Undirected,5,0
260,24,29,Undirected,9,0
261,5,24,Undirected,9,0
262,7,24,Undirected,22,0
263,8,24,Undirected,19,0
264,9,24,Undirected,7,0
265,6,24,Undirected,13,0
266,24,30,Undirected,2,0
267,24,31,Undirected,2,0
268,24,32,Undirected,14,0.178184248561525
269,24,33,Undirected,2,0
270,24,34,Undirected,22,0
271,24,35,Undirected,14,0
272,13,24,Undirected,15,0
273,18,24,Undirected,14,0
274,24,36,Undirected,1,0.354275507617206
275,19,24,Undirected,19,0
276,24,37,Undirected,12,0.178184248561525
277,24,38,Undirected,9,0
278,21,24,Undirected,16,0
279,22,24,Undirected,8,0
280,24,39,Undirected,1,0.354275507617206
281,3,25,Undirected,47,0
282,3,26,Undirected,22,0
283,3,27,Undirected,10,0
284,3,28,Undirected,10,0
285,3,29,Undirected,15,0
286,3,30,Undirected,4,0
287,3,31,Undirected,9,0
288,3,32,Undirected,21,0
289,3,33,Undirected,5,0
290,3,34,Undirected,46,0
291,3,35,Undirected,32,0
292,3,36,Undirected,1,0
293,3,37,Undirected,18,0
294,3,38,Undirected,21,0
295,3,39,Undirected,1,0
296,25,26,Undirected,23,0
297,25,27,Undirected,9,0
298,4,25,Undirected,43,0
299,25,28,Undirected,10,0
300,25,29,Undirected,15,0
301,5,25,Undirected,26,0
302,7,25,Undirected,41,0
303,8,25,Undirected,37,0
304,9,25,Undirected,20,0
305,6,25,Undirected,35,0
306,25,30,Undirected,3,0
307,25,31,Undirected,9,0
308,25,32,Undirected,20,0
309,25,33,Undirected,5,0
310,25,34,Undirected,46,0
311,25,35,Undirected,31,0
312,13,25,Undirected,35,0
313,18,25,Undirected,26,0
314,25,36,Undirected,1,0
315,19,25,Undirected,41,0
316,25,37,Undirected,18,0
317,25,38,Undirected,21,0
318,21,25,Undirected,33,0
319,22,25,Undirected,18,0
320,25,39,Undirected,1,0
321,26,27,Undirected,2,0
322,4,26,Undirected,21,0
323,26,28,Undirected,4,0
324,26,29,Undirected,7,0
325,5,26,Undirected,13,0
326,7,26,Undirected,22,0
327,8,26,Undirected,20,0
328,9,26,Undirected,8,0
329,6,26,Undirected,16,0
330,26,30,Undirected,1,0
331,26,31,Undirected,5,0
332,26,32,Undirected,8,0
333,26,33,Undirected,2,0
334,26,34,Undirected,22,0
335,26,35,Undirected,14,0
336,13,26,Undirected,14,0
337,18,26,Undirected,13,0
338,26,36,Undirected,1,0.354275507617206
339,19,26,Undirected,20,0
340,26,37,Undirected,9,0
341,26,38,Undirected,13,0
342,21,26,Undirected,18,0
343,22,26,Undirected,7,0
344,26,39,Undirected,1,0.354275507617206
345,4,27,Undirected,7,0
346,27,28,Undirected,3,0
347,27,29,Undirected,5,0
348,5,27,Undirected,5,0
349,7,27,Undirected,10,0
350,8,27,Undirected,8,0
351,9,27,Undirected,5,0
352,6,27,Undirected,6,0
353,27,30,Undirected,1,0
354,27,31,Undirected,3,0
355,27,32,Undirected,6,0
356,27,33,Undirected,1,0
357,27,34,Undirected,9,0
358,27,35,Undirected,7,0
359,13,27,Undirected,7,0
360,18,27,Undirected,6,0
361,27,36,Undirected,1,0.716003343634799
362,19,27,Undirected,10,0
363,27,37,Undirected,6,0.238882088915137
364,27,38,Undirected,3,0
365,21,27,Undirected,8,0
366,22,27,Undirected,6,0.193124598354462
367,27,39,Undirected,1,0.716003343634799
368,4,28,Undirected,10,0
369,4,29,Undirected,16,0
370,4,30,Undirected,4,0
371,4,31,Undirected,9,0
372,4,32,Undirected,19,0
373,4,33,Undirected,5,0
374,4,34,Undirected,43,0
375,4,35,Undirected,28,0
376,4,36,Undirected,1,0
377,4,37,Undirected,16,0
378,4,38,Undirected,20,0
379,4,39,Undirected,1,0
380,28,29,Undirected,5,0
381,5,28,Undirected,5,0
382,7,28,Undirected,8,0
383,8,28,Undirected,9,0
384,9,28,Undirected,5,0
385,6,28,Undirected,6,0
386,28,30,Undirected,1,0
387,28,31,Undirected,2,0
388,28,32,Undirected,7,0.238882088915137
389,28,33,Undirected,2,0.318063334962762
390,28,34,Undirected,9,0
391,28,35,Undirected,7,0
392,13,28,Undirected,8,0
393,18,28,Undirected,6,0
394,28,36,Undirected,1,0.716003343634799
395,19,28,Undirected,9,0
396,28,37,Undirected,6,0.238882088915137
397,28,38,Undirected,9,0.327823172251918
398,21,28,Undirected,7,0
399,22,28,Undirected,6,0.193124598354462
400,28,39,Undirected,1,0.716003343634799
401,5,29,Undirected,11,0
402,7,29,Undirected,14,0
403,8,29,Undirected,14,0
404,9,29,Undirected,6,0
405,6,29,Undirected,9,0
406,29,30,Undirected,2,0
407,29,31,Undirected,6,0.263705672640169
408,29,32,Undirected,7,0
409,29,33,Undirected,3,0.263705672640169
410,29,34,Undirected,16,0
411,29,35,Undirected,7,0
412,13,29,Undirected,8,0
413,18,29,Undirected,7,0
414,29,36,Undirected,1,0.485554422256525
415,19,29,Undirected,15,0
416,29,37,Undirected,7,0
417,29,38,Undirected,10,0
418,21,29,Undirected,12,0
419,22,29,Undirected,8,0
420,29,39,Undirected,1,0.485554422256525
421,5,30,Undirected,3,0
422,5,31,Undirected,8,0.171935299284524
423,5,32,Undirected,9,0
424,5,33,Undirected,3,0
425,5,34,Undirected,26,0
426,5,35,Undirected,18,0
427,5,36,Undirected,1,0
428,5,37,Undirected,8,0
429,5,38,Undirected,12,0
430,5,39,Undirected,1,0
431,7,30,Undirected,3,0
432,7,31,Undirected,7,0
433,7,32,Undirected,17,0
434,7,33,Undirected,4,0
435,7,34,Undirected,40,0
436,7,35,Undirected,26,0
437,7,36,Undirected,1,0
438,7,37,Undirected,16,0
439,7,38,Undirected,18,0
440,7,39,Undirected,1,0
441,8,30,Undirected,3,0
442,8,31,Undirected,7,0
443,8,32,Undirected,16,0
444,8,33,Undirected,4,0
445,8,34,Undirected,36,0
446,8,35,Undirected,25,0
447,8,36,Undirected,1,0
448,8,37,Undirected,15,0
449,8,38,Undirected,18,0
450,8,39,Undirected,1,0
451,9,30,Undirected,1,0
452,9,31,Undirected,5,0
453,9,32,Undirected,9,0
454,9,33,Undirected,2,0
455,9,34,Undirected,19,0
456,9,35,Undirected,14,0
457,9,36,Undirected,1,0.39378404890088
458,9,37,Undirected,9,0
459,9,38,Undirected,10,0
460,9,39,Undirected,1,0.39378404890088
461,6,30,Undirected,3,0
462,6,31,Undirected,8,0
463,6,32,Undirected,14,0
464,6,33,Undirected,4,0
465,6,34,Undirected,33,0
466,6,35,Undirected,26,0
467,6,36,Undirected,1,0
468,6,37,Undirected,12,0
469,6,38,Undirected,13,0
470,6,39,Undirected,1,0
471,30,31,Undirected,2,0.414973347970818
472,30,32,Undirected,1,0
473,30,33,Undirected,2,0.716003343634799
474,30,34,Undirected,4,0
475,30,35,Undirected,3,0
476,13,30,Undirected,2,0
477,18,30,Undirected,3,0
478,30,36,Undirected,1,1.11394335230684
479,19,30,Undirected,3,0
480,30,37,Undirected,2,0
481,30,38,Undirected,2,0
482,21,30,Undirected,2,0
483,22,30,Undirected,2,0
484,30,39,Undirected,1,1.11394335230684
485,31,32,Undirected,1,0
486,31,33,Undirected,1,0
487,31,34,Undirected,8,0
488,31,35,Undirected,6,0
489,13,31,Undirected,7,0
490,18,31,Undirected,3,0
491,31,36,Undirected,1,0.716003343634799
492,19,31,Undirected,9,0
493,31,37,Undirected,3,0
494,31,38,Undirected,4,0
495,21,31,Undirected,8,0
496,22,31,Undirected,6,0.193124598354462
497,31,39,Undirected,1,0.716003343634799
498,32,33,Undirected,3,0
499,32,34,Undirected,20,0
500,32,35,Undirected,14,0
501,13,32,Undirected,15,0
502,18,32,Undirected,11,0
503,32,36,Undirected,1,0.39378404890088
504,19,32,Undirected,18,0
505,32,37,Undirected,11,0.179904228955799
506,32,38,Undirected,9,0
507,21,32,Undirected,12,0
508,22,32,Undirected,7,0
509,32,39,Undirected,1,0.39378404890088
510,33,34,Undirected,5,0
511,33,35,Undirected,4,0
512,13,33,Undirected,5,0
513,18,33,Undirected,3,0
514,33,36,Undirected,1,1.01703333929878
515,19,33,Undirected,5,0
516,33,37,Undirected,2,0
517,33,38,Undirected,3,0
518,21,33,Undirected,4,0
519,22,33,Undirected,2,0
520,33,39,Undirected,1,1.01703333929878
521,34,35,Undirected,30,0
522,13,34,Undirected,33,0
523,18,34,Undirected,27,0
524,34,36,Undirected,1,0
525,19,34,Undirected,40,0
526,34,37,Undirected,17,0
527,34,38,Undirected,20,0
528,21,34,Undirected,30,0
529,22,34,Undirected,18,0
530,34,39,Undirected,1,0
531,13,35,Undirected,25,0
532,18,35,Undirected,20,0
533,35,36,Undirected,1,0
534,19,35,Undirected,27,0
535,35,37,Undirected,9,0
536,35,38,Undirected,13,0
537,21,35,Undirected,21,0
538,22,35,Undirected,10,0
539,35,39,Undirected,1,0
540,13,36,Undirected,1,0
541,13,37,Undirected,13,0
542,13,38,Undirected,14,0
543,13,39,Undirected,1,0
544,18,36,Undirected,1,0
545,18,37,Undirected,7,0
546,18,38,Undirected,12,0
547,18,39,Undirected,1,0
548,19,36,Undirected,1,0
549,36,37,Undirected,1,0.460730838531493
550,36,38,Undirected,1,0.373580662812593
551,21,36,Undirected,1,0
552,22,36,Undirected,1,0.414973347970818
553,36,39,Undirected,1,1.7160033436348
554,19,37,Undirected,16,0
555,19,38,Undirected,21,0
556,19,39,Undirected,1,0
557,37,38,Undirected,11,0.159700842867512
558,21,37,Undirected,12,0
559,22,37,Undirected,8,0
560,37,39,Undirected,1,0.460730838531493
561,21,38,Undirected,16,0
562,22,38,Undirected,9,0
563,38,39,Undirected,1,0.373580662812593
564,21,39,Undirected,1,0
565,22,39,Undirected,1,0.414973347970818
566,24,40,Undirected,4,0
567,24,41,Undirected,8,0
568,10,24,Undirected,7,0
569,24,42,Undirected,7,0
570,15,24,Undirected,17,0
571,24,43,Undirected,3,0
572,14,24,Undirected,8,0
573,4,40,Undirected,13,0
574,4,41,Undirected,14,0
575,4,42,Undirected,15,0
576,4,43,Undirected,8,0
577,3,40,Undirected,12,0
578,25,40,Undirected,12,0
579,6,40,Undirected,8,0
580,40,41,Undirected,4,0
581,8,40,Undirected,9,0
582,10,40,Undirected,3,0
583,7,40,Undirected,8,0
584,40,42,Undirected,8,0.274701056941632
585,15,40,Undirected,12,0
586,18,40,Undirected,6,0
587,34,40,Undirected,13,0
588,35,40,Undirected,5,0
589,40,43,Undirected,4,0.301029995663981
590,30,40,Undirected,3,0.477121254719662
591,14,40,Undirected,2,0
592,37,40,Undirected,4,0
593,3,41,Undirected,15,0
594,3,42,Undirected,15,0
595,3,43,Undirected,8,0
596,25,41,Undirected,16,0
597,10,25,Undirected,17,0
598,25,42,Undirected,16,0
599,15,25,Undirected,38,0
600,25,43,Undirected,8,0
601,14,25,Undirected,13,0
602,6,41,Undirected,13,0
603,6,42,Undirected,13,0
604,6,43,Undirected,5,0
605,8,41,Undirected,9,0
606,10,41,Undirected,5,0
607,7,41,Undirected,12,0
608,41,42,Undirected,8,0.184524426592544
609,15,41,Undirected,13,0
610,18,41,Undirected,8,0
611,34,41,Undirected,16,0
612,35,41,Undirected,10,0
613,41,43,Undirected,1,0
614,30,41,Undirected,1,0
615,14,41,Undirected,4,0
616,37,41,Undirected,8,0
617,8,42,Undirected,8,0
618,8,43,Undirected,8,0
619,10,42,Undirected,2,0
620,10,34,Undirected,14,0
621,10,35,Undirected,11,0
622,10,43,Undirected,4,0
623,10,30,Undirected,1,0
624,10,37,Undirected,7,0
625,7,42,Undirected,12,0
626,7,43,Undirected,7,0
627,15,42,Undirected,16,0
628,18,42,Undirected,8,0
629,34,42,Undirected,17,0
630,35,42,Undirected,8,0
631,42,43,Undirected,2,0
632,30,42,Undirected,2,0
633,14,42,Undirected,4,0
634,37,42,Undirected,5,0
635,15,34,Undirected,38,0
636,15,35,Undirected,24,0
637,15,43,Undirected,6,0
638,15,30,Undirected,3,0
639,15,37,Undirected,13,0
640,18,43,Undirected,6,0
641,34,43,Undirected,8,0
642,14,34,Undirected,14,0
643,35,43,Undirected,5,0
644,14,35,Undirected,11,0
645,30,43,Undirected,1,0
646,14,43,Undirected,4,0.238882088915137
647,37,43,Undirected,4,0
648,14,30,Undirected,1,0
